Buscando 64 documentos suspeitos (Elasticsearch, combinação 7)...
  [1/64] suspicious-document00079.txt: 30.9s (total até agora: 0.5min)
  [2/64] suspicious-document00413.txt: 22.2s (total até agora: 0.9min)
  [3/64] suspicious-document04595.txt: 1.1s (total até agora: 0.9min)
  [4/64] suspicious-document04636.txt: 27.8s (total até agora: 1.4min)
  [5/64] suspicious-document04786.txt: 32.2s (total até agora: 1.9min)
  [6/64] suspicious-document04823.txt: 16.0s (total até agora: 2.2min)
  [7/64] suspicious-document05709.txt: 1.8s (total até agora: 2.2min)
  [8/64] suspicious-document05791.txt: 40.4s (total até agora: 2.9min)
  [9/64] suspicious-document05841.txt: 12.2s (total até agora: 3.1min)
  [10/64] suspicious-document06342.txt: 6.6s (total até agora: 3.2min)
  [11/64] suspicious-document06500.txt: 38.0s (total até agora: 3.8min)
  [12/64] suspicious-document06610.txt: 34.2s (total até agora: 4.4min)
  [13/64] suspicious-document06618.txt: 6.4s (total até agora: 4.5min)
  [14/64] suspicious-document06657.txt: 1.5s (total até agora: 4.5min)
  [15/64] suspicious-document06874.txt: 27.6s (total até agora: 5.0min)
  [16/64] suspicious-document07042.txt: 43.4s (total até agora: 5.7min)
  [17/64] suspicious-document07141.txt: 120.7s (total até agora: 7.7min)
  [18/64] suspicious-document07225.txt: 6.0s (total até agora: 7.8min)
  [19/64] suspicious-document07321.txt: 1.8s (total até agora: 7.8min)
  [20/64] suspicious-document07385.txt: 6.7s (total até agora: 8.0min)
  [21/64] suspicious-document07467.txt: 1.8s (total até agora: 8.0min)
  [22/64] suspicious-document07521.txt: 36.2s (total até agora: 8.6min)
  [23/64] suspicious-document07590.txt: 2.1s (total até agora: 8.6min)
  [24/64] suspicious-document07677.txt: 10.6s (total até agora: 8.8min)
  [25/64] suspicious-document08001.txt: 7.3s (total até agora: 8.9min)
  [26/64] suspicious-document08002.txt: 6.5s (total até agora: 9.0min)
  [27/64] suspicious-document08137.txt: 10.6s (total até agora: 9.2min)
  [28/64] suspicious-document08205.txt: 11.6s (total até agora: 9.4min)
  [29/64] suspicious-document08716.txt: 12.1s (total até agora: 9.6min)
  [30/64] suspicious-document08721.txt: 8.8s (total até agora: 9.8min)
  [31/64] suspicious-document08984.txt: 19.6s (total até agora: 10.1min)
  [32/64] suspicious-document09029.txt: 0.6s (total até agora: 10.1min)
  [33/64] suspicious-document09356.txt: 25.7s (total até agora: 10.5min)
  [34/64] suspicious-document09432.txt: 10.8s (total até agora: 10.7min)
  [35/64] suspicious-document09467.txt: 13.1s (total até agora: 10.9min)
  [36/64] suspicious-document09472.txt: 72.2s (total até agora: 12.1min)
  [37/64] suspicious-document00563.txt: 16.6s (total até agora: 12.4min)
  [38/64] suspicious-document00574.txt: 0.7s (total até agora: 12.4min)
  [39/64] suspicious-document00637.txt: 61.6s (total até agora: 13.4min)
  [40/64] suspicious-document00713.txt: 12.8s (total até agora: 13.6min)
  [41/64] suspicious-document00816.txt: 26.7s (total até agora: 14.1min)
  [42/64] suspicious-document00976.txt: 2.1s (total até agora: 14.1min)
  [43/64] suspicious-document09514.txt: 19.0s (total até agora: 14.4min)
  [44/64] suspicious-document09897.txt: 14.8s (total até agora: 14.7min)
  [45/64] suspicious-document10242.txt: 1.0s (total até agora: 14.7min)
  [46/64] suspicious-document10292.txt: 14.9s (total até agora: 15.0min)
  [47/64] suspicious-document10375.txt: 36.1s (total até agora: 15.6min)
  [48/64] suspicious-document10497.txt: 0.4s (total até agora: 15.6min)
  [49/64] suspicious-document10548.txt: 39.5s (total até agora: 16.2min)
  [50/64] suspicious-document10744.txt: 22.0s (total até agora: 16.6min)
  [51/64] suspicious-document01312.txt: 15.4s (total até agora: 16.8min)
  [52/64] suspicious-document01942.txt: 45.8s (total até agora: 17.6min)
  [53/64] suspicious-document01977.txt: 20.0s (total até agora: 17.9min)
  [54/64] suspicious-document02161.txt: 1.0s (total até agora: 18.0min)
  [55/64] suspicious-document02291.txt: 2.2s (total até agora: 18.0min)
  [56/64] suspicious-document02417.txt: 23.3s (total até agora: 18.4min)
  [57/64] suspicious-document02538.txt: 30.3s (total até agora: 18.9min)
  [58/64] suspicious-document02612.txt: 14.1s (total até agora: 19.1min)
  [59/64] suspicious-document02654.txt: 34.1s (total até agora: 19.7min)
  [60/64] suspicious-document02736.txt: 34.1s (total até agora: 20.3min)
  [61/64] suspicious-document02808.txt: 6.8s (total até agora: 20.4min)
  [62/64] suspicious-document03602.txt: 15.8s (total até agora: 20.6min)
  [63/64] suspicious-document03814.txt: 167.4s (total até agora: 23.4min)
  [64/64] suspicious-document03980.txt: 2.2s (total até agora: 23.5min)

Concluído em 23.5 minutos
Resultados salvos em: /Users/pedrojuliosilvasucupira/Desktop/BRI.R/reports/es_combo7_results.json
