Buscando 64 documentos suspeitos (combinação 7)...
  [1/64] suspicious-document00079.txt: 152.2s (total até agora: 2.5min)
  [2/64] suspicious-document00413.txt: 130.0s (total até agora: 4.7min)
  [3/64] suspicious-document04595.txt: 3.6s (total até agora: 4.8min)
  [4/64] suspicious-document04636.txt: 192.1s (total até agora: 8.0min)
  [5/64] suspicious-document04786.txt: 194.2s (total até agora: 11.2min)
  [6/64] suspicious-document04823.txt: 74.8s (total até agora: 12.5min)
  [7/64] suspicious-document05709.txt: 7.9s (total até agora: 12.6min)
  [8/64] suspicious-document05791.txt: 220.5s (total até agora: 16.3min)
  [9/64] suspicious-document05841.txt: 66.8s (total até agora: 17.4min)
  [10/64] suspicious-document06342.txt: 24.9s (total até agora: 17.8min)
  [11/64] suspicious-document06500.txt: 229.8s (total até agora: 21.6min)
  [12/64] suspicious-document06610.txt: 215.6s (total até agora: 25.2min)
  [13/64] suspicious-document06618.txt: 32.8s (total até agora: 25.8min)
  [14/64] suspicious-document06657.txt: 3.0s (total até agora: 25.8min)
  [15/64] suspicious-document06874.txt: 198.4s (total até agora: 29.1min)
  [16/64] suspicious-document07042.txt: 165.9s (total até agora: 31.9min)
  [17/64] suspicious-document07141.txt: 368.5s (total até agora: 38.0min)
  [18/64] suspicious-document07225.txt: 35.0s (total até agora: 38.6min)
  [19/64] suspicious-document07321.txt: 8.2s (total até agora: 38.7min)
  [20/64] suspicious-document07385.txt: 31.4s (total até agora: 39.3min)
  [21/64] suspicious-document07467.txt: 6.4s (total até agora: 39.4min)
  [22/64] suspicious-document07521.txt: 182.5s (total até agora: 42.4min)
  [23/64] suspicious-document07590.txt: 11.7s (total até agora: 42.6min)
  [24/64] suspicious-document07677.txt: 61.4s (total até agora: 43.6min)
  [25/64] suspicious-document08001.txt: 53.3s (total até agora: 44.5min)
  [26/64] suspicious-document08002.txt: 42.9s (total até agora: 45.2min)
  [27/64] suspicious-document08137.txt: 54.4s (total até agora: 46.1min)
  [28/64] suspicious-document08205.txt: 66.3s (total até agora: 47.2min)
  [29/64] suspicious-document08716.txt: 21.7s (total até agora: 47.6min)
  [30/64] suspicious-document08721.txt: 35.0s (total até agora: 48.2min)
  [31/64] suspicious-document08984.txt: 96.1s (total até agora: 49.8min)
  [32/64] suspicious-document09029.txt: 3.4s (total até agora: 49.8min)
  [33/64] suspicious-document09356.txt: 160.2s (total até agora: 52.5min)
  [34/64] suspicious-document09432.txt: 38.2s (total até agora: 53.1min)
  [35/64] suspicious-document09467.txt: 62.9s (total até agora: 54.2min)
  [36/64] suspicious-document09472.txt: 279.9s (total até agora: 58.9min)
  [37/64] suspicious-document00563.txt: 75.1s (total até agora: 60.1min)
  [38/64] suspicious-document00574.txt: 3.8s (total até agora: 60.2min)
  [39/64] suspicious-document00637.txt: 341.7s (total até agora: 65.9min)
  [40/64] suspicious-document00713.txt: 71.2s (total até agora: 67.1min)
  [41/64] suspicious-document00816.txt: 121.4s (total até agora: 69.1min)
  [42/64] suspicious-document00976.txt: 10.7s (total até agora: 69.3min)
  [43/64] suspicious-document09514.txt: 97.6s (total até agora: 70.9min)
  [44/64] suspicious-document09897.txt: 93.0s (total até agora: 72.4min)
  [45/64] suspicious-document10242.txt: 4.2s (total até agora: 72.5min)
  [46/64] suspicious-document10292.txt: 85.3s (total até agora: 73.9min)
  [47/64] suspicious-document10375.txt: 174.8s (total até agora: 76.8min)
  [48/64] suspicious-document10497.txt: 2.1s (total até agora: 76.9min)
  [49/64] suspicious-document10548.txt: 180.5s (total até agora: 79.9min)
  [50/64] suspicious-document10744.txt: 99.1s (total até agora: 81.5min)
  [51/64] suspicious-document01312.txt: 73.2s (total até agora: 82.8min)
  [52/64] suspicious-document01942.txt: 238.9s (total até agora: 86.7min)
  [53/64] suspicious-document01977.txt: 93.3s (total até agora: 88.3min)
  [54/64] suspicious-document02161.txt: 4.7s (total até agora: 88.4min)
  [55/64] suspicious-document02291.txt: 10.5s (total até agora: 88.5min)
  [56/64] suspicious-document02417.txt: 159.7s (total até agora: 91.2min)
  [57/64] suspicious-document02538.txt: 148.8s (total até agora: 93.7min)
  [58/64] suspicious-document02612.txt: 46.1s (total até agora: 94.5min)
  [59/64] suspicious-document02654.txt: 167.5s (total até agora: 97.3min)
  [60/64] suspicious-document02736.txt: 178.5s (total até agora: 100.2min)
  [61/64] suspicious-document02808.txt: 36.0s (total até agora: 100.8min)
  [62/64] suspicious-document03602.txt: 67.5s (total até agora: 102.0min)
  [63/64] suspicious-document03814.txt: 674.0s (total até agora: 113.2min)
  [64/64] suspicious-document03980.txt: 9.1s (total até agora: 113.3min)

Concluído em 113.3 minutos
Resultados salvos em: /Users/pedrojuliosilvasucupira/Desktop/BRI.R/reports/whoosh_combo7_results.json
